                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4078,                    0.5,                      1,                 1.3613,                 0.0973,                 0.0003,                 0.0003
                      2,                 1.2222,                   0.25,                      1,                  1.334,               0.093631,              0.0006307,              0.0006307
                      3,                0.83478,                    0.5,                      1,                 1.2773,               0.089882,              0.0008822,              0.0008822
                      4,                0.71881,                    0.5,                      1,                 1.1738,               0.086055,              0.0010545,              0.0010545
                      5,                 0.4321,                  0.625,                      1,                 1.1035,               0.082148,              0.0011476,              0.0011476
                      6,                0.25615,                  0.625,                      1,                 1.0791,               0.078162,              0.0011615,              0.0011615
                      7,                0.22206,                   0.75,                      1,                 1.0234,               0.074096,              0.0010962,              0.0010962
                      8,                 0.2211,                   0.75,                      1,                0.99268,               0.069952,              0.0009517,              0.0009517
                      9,                0.19142,                   0.75,                      1,                0.98486,               0.065728,               0.000728,               0.000728
                     10,                0.08164,                   0.75,                      1,                0.97705,               0.061425,              0.0004251,              0.0004251
